file,duration,strategy,transforms,versions
01092145.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01092221.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01100231.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01101510.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01101625.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01101633.mseed,84.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01101723.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01101840.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01102005.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01111544.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01120019.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01120525.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01121121.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01121928.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01122025.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01122046.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01122123.mseed,65.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01122209.mseed,62.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01122347.mseed,83.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01130111.mseed,62.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01130118.mseed,120.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01130123.mseed,124.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01130310.mseed,65.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01130852.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01131027.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01131106.mseed,65.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01131709.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01140007.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01140502.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01140849.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01140951.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01142309.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01142356.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01150236.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01150237.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01150258.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01150913.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01151144.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01151534.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01152343.mseed,83.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01160958.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01161101.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01161214.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01161231.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01161249.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01161253.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01161327.mseed,84.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01161743.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01162009.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01162248.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01170301.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01171129.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01171146.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01171531.mseed,84.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01181333.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01181529.mseed,86.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01181732.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01190252.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01191046.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01191808.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01191859.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01192123.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200005.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200142.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200156.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200211.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200231.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200232.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200252.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200324.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200351.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200407.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200409.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200433.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200441.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200453.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200454.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200504.mseed,64.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200507.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200509.mseed,65.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200511.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200521.mseed,63.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200522.mseed,63.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200525.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200526.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200528.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200532.mseed,64.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200533.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200536.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200542.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200547.mseed,89.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200551.mseed,65.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200842.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200847.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200925.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01200948.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01201014.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01201228.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01201710.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01210201.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01210212.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01210318.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01210411.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01210526.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01210724.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01210926.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01211039.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01211655.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01211952.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01212117.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01212143.mseed,85.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01212151.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01212258.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01220014.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01220100.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01220330.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01221351.mseed,66.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01230028.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01230332.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01230431.mseed,84.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01230607.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01230820.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01230905.mseed,73.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01231056.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01231105.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01232302.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01232310.mseed,75.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01232318.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01232331.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01240149.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01240609.mseed,85.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01251352.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01251703.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01251944.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01252237.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01252239.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01260330.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01261118.mseed,67.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01261136.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01262045.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01270100.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01270133.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01270540.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01271759.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01280018.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01280210.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01280451.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01281310.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01281325.mseed,86.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01281441.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01282122.mseed,94.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01290154.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01300457.mseed,78.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01300910.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01301233.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01301858.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01310855.mseed,87.01,range_based,"['time_shift', 'amplitude', 'noise']",2
01312120.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02010045.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02010101.mseed,81.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02010620.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02010716.mseed,77.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02010824.mseed,72.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02010936.mseed,87.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02011511.mseed,91.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02011707.mseed,65.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02012142.mseed,83.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02012159.mseed,87.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02020236.mseed,74.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02020958.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02021004.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02021053.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02021338.mseed,89.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02021635.mseed,69.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02021807.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02022041.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02022119.mseed,83.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02030748.mseed,82.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02032136.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02040319.mseed,70.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02040402.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02040619.mseed,71.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02040903.mseed,84.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02040943.mseed,76.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02041025.mseed,80.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02041524.mseed,84.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02041827.mseed,79.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02041834.mseed,85.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02041910.mseed,65.01,range_based,"['time_shift', 'amplitude', 'noise']",2
02042149.mseed,68.01,range_based,"['time_shift', 'amplitude', 'noise']",2
