file,real_time,predicted_time,error,abs_error
01141809.mseed,30.90000009536743,30.366035,-0.5339646339416504,0.5339646339416504
05040544.mseed,31.0,30.46657,-0.5334300994873047,0.5334300994873047
11140309.mseed,30.799999952316284,30.27309,-0.526909589767456,0.526909589767456
03201715.mseed,30.799999952316284,30.274933,-0.5250670909881592,0.5250670909881592
01230621.mseed,30.09999990463257,30.620258,0.5202584266662598,0.5202584266662598
05072046.mseed,30.0,30.516708,0.5167083740234375,0.5167083740234375
02131811.mseed,30.799999952316284,30.28331,-0.5166900157928467,0.5166900157928467
02171001.mseed,30.700000047683716,30.183756,-0.5162441730499268,0.5162441730499268
02061300.mseed,30.799999952316284,30.289547,-0.5104529857635498,0.5104529857635498
08092215.mseed,30.90000009536743,30.39082,-0.5091805458068848,0.5091805458068848
11062107.mseed,30.799999952316284,30.291798,-0.508202314376831,0.508202314376831
12300750.mseed,30.90000009536743,30.394213,-0.5057873725891113,0.5057873725891113
11232309.mseed,30.40000009536743,30.901709,0.5017085075378418,0.5017085075378418
02082028.mseed,30.90000009536743,30.40109,-0.49890947341918945,0.49890947341918945
02262349.mseed,30.90000009536743,30.40113,-0.4988694190979004,0.4988694190979004
01071548.mseed,30.0,30.498371,0.4983711242675781,0.4983711242675781
11201918.mseed,30.90000009536743,30.40166,-0.4983391761779785,0.4983391761779785
05032234.mseed,31.0,30.503447,-0.4965534210205078,0.4965534210205078
11140920.mseed,30.90000009536743,30.408024,-0.491976261138916,0.491976261138916
12020038.mseed,31.0,30.510582,-0.48941802978515625,0.48941802978515625
03181238.mseed,31.0,30.510967,-0.4890327453613281,0.4890327453613281
02241931.mseed,30.799999952316284,30.311821,-0.48817896842956543,0.48817896842956543
05130935.mseed,30.90000009536743,30.412115,-0.4878849983215332,0.4878849983215332
03051734.mseed,30.299999952316284,29.81492,-0.4850795269012451,0.4850795269012451
05010637.mseed,30.90000009536743,30.41553,-0.48447084426879883,0.48447084426879883
05021958.mseed,30.0,30.48416,0.4841594696044922,0.4841594696044922
05090140.mseed,30.59999990463257,30.116528,-0.4834723472595215,0.4834723472595215
01212153.mseed,30.90000009536743,30.42149,-0.47851037979125977,0.47851037979125977
01280334.mseed,30.0,30.474144,0.47414398193359375,0.47414398193359375
05012116.mseed,30.90000009536743,30.430601,-0.46939897537231445,0.46939897537231445
12031949.mseed,30.90000009536743,30.431583,-0.468416690826416,0.468416690826416
05120633.mseed,30.0,30.465244,0.4652442932128906,0.4652442932128906
12270454.mseed,30.90000009536743,30.440361,-0.4596390724182129,0.4596390724182129
11261414.mseed,30.90000009536743,30.44392,-0.45607995986938477,0.45607995986938477
02021906.mseed,30.0,30.455584,0.4555835723876953,0.4555835723876953
03122043.mseed,31.0,30.54505,-0.45495033264160156,0.45495033264160156
01150301.mseed,30.90000009536743,30.447803,-0.4521965980529785,0.4521965980529785
12032113.mseed,30.799999952316284,30.348223,-0.45177721977233887,0.45177721977233887
12141918.mseed,30.90000009536743,30.44833,-0.45167016983032227,0.45167016983032227
05012258.mseed,30.700000047683716,30.249977,-0.45002293586730957,0.45002293586730957
05221325.mseed,30.09999990463257,30.547558,0.4475579261779785,0.4475579261779785
10191623.mseed,30.700000047683716,30.254642,-0.4453575611114502,0.4453575611114502
03180654.mseed,30.90000009536743,30.455599,-0.44440126419067383,0.44440126419067383
05010625.mseed,30.90000009536743,30.456606,-0.44339418411254883,0.44339418411254883
03150531.mseed,30.09999990463257,30.541008,0.4410080909729004,0.4410080909729004
05011615.mseed,30.59999990463257,30.159676,-0.4403243064880371,0.4403243064880371
02250322.mseed,30.0,30.440098,0.4400978088378906,0.4400978088378906
05022210.mseed,30.90000009536743,30.459963,-0.44003725051879883,0.44003725051879883
04191036.mseed,30.799999952316284,30.362011,-0.4379889965057373,0.4379889965057373
05010808.mseed,30.0,30.435982,0.43598175048828125,0.43598175048828125
04300800.mseed,30.90000009536743,30.467178,-0.43282175064086914,0.43282175064086914
02051616.mseed,30.09999990463257,30.53132,0.4313206672668457,0.4313206672668457
05112254.mseed,30.09999990463257,30.524744,0.4247441291809082,0.4247441291809082
04171646.mseed,30.09999990463257,30.52406,0.4240593910217285,0.4240593910217285
05020814.mseed,30.799999952316284,30.377586,-0.42241358757019043,0.42241358757019043
01291005.mseed,30.0,30.419271,0.41927146911621094,0.41927146911621094
12290012.mseed,30.299999952316284,30.718544,0.41854405403137207,0.41854405403137207
08080156.mseed,30.799999952316284,30.38203,-0.4179694652557373,0.4179694652557373
03151543.mseed,30.700000047683716,30.284645,-0.41535496711730957,0.41535496711730957
10102000.mseed,30.09999990463257,30.513262,0.41326189041137695,0.41326189041137695
03180608.mseed,31.0,30.587076,-0.41292381286621094,0.41292381286621094
10062007.mseed,30.799999952316284,30.387222,-0.4127776622772217,0.4127776622772217
04202320.mseed,30.90000009536743,30.488531,-0.4114689826965332,0.4114689826965332
12300937.mseed,30.09999990463257,30.505733,0.405733585357666,0.405733585357666
05010515.mseed,30.200000047683716,30.604462,0.4044616222381592,0.4044616222381592
02032244.mseed,30.90000009536743,30.496395,-0.40360498428344727,0.40360498428344727
01201025.mseed,30.90000009536743,30.496586,-0.403414249420166,0.403414249420166
04300813.mseed,30.90000009536743,30.498425,-0.40157556533813477,0.40157556533813477
05310036.mseed,30.0,30.400688,0.40068817138671875,0.40068817138671875
05281827.mseed,30.200000047683716,30.599974,0.39997363090515137,0.39997363090515137
04231425.mseed,30.799999952316284,30.404198,-0.39580225944519043,0.39580225944519043
09040230.mseed,30.0,30.395397,0.3953971862792969,0.3953971862792969
05130044.mseed,30.59999990463257,30.205177,-0.3948225975036621,0.3948225975036621
05040109.mseed,30.90000009536743,30.505375,-0.394625186920166,0.394625186920166
05010535.mseed,30.799999952316284,30.407818,-0.3921821117401123,0.3921821117401123
10040904.mseed,30.09999990463257,30.490122,0.3901219367980957,0.3901219367980957
06301748.mseed,30.299999952316284,30.689034,0.38903355598449707,0.38903355598449707
01212146.mseed,30.90000009536743,30.5124,-0.3876004219055176,0.3876004219055176
05010132.mseed,30.700000047683716,30.318573,-0.3814270496368408,0.3814270496368408
05091441.mseed,30.09999990463257,30.479712,0.3797116279602051,0.3797116279602051
11031035.mseed,30.799999952316284,30.420612,-0.37938761711120605,0.37938761711120605
09130853.mseed,30.799999952316284,30.422009,-0.3779914379119873,0.3779914379119873
